surface,n_bhk,sa1,pool,sa9,sa7,sa2,sa5,price
-1.0644604886423528,1.0,0,1,0,0,1,0,3.9
-0.3190338852168248,2.0,0,1,0,0,1,0,6.5
-0.015047858997194654,3.0,0,1,0,0,1,0,7.4
0.3259451617187383,3.0,0,1,0,0,1,0,8.9
-0.40097794445863816,2.0,0,1,0,0,0,0,7.4
0.21228082148009397,3.0,0,1,0,0,0,0,9.5
-0.0005093968736471253,2.0,0,1,0,0,0,0,7.5
0.7396304930524089,3.0,0,1,0,0,0,0,10.0
0.027245848998579975,2.0,0,1,0,0,0,0,6.5
0.6087843339404811,3.0,0,1,0,0,0,0,8.8
1.9806864870534207,4.0,0,1,0,0,0,0,13.5
3.503259974901307,5.0,0,1,0,0,0,0,18.8
3.503259974901307,6.0,0,1,0,0,0,0,18.8
-0.37322269858641105,2.0,1,1,0,0,0,0,5.800000000000001
0.4131759344600235,3.0,1,1,0,0,0,0,9.5
-1.2468521043741307,1.0,0,1,0,0,0,0,4.0
-0.6071597709380395,2.0,0,1,0,0,0,0,5.800000000000001
-0.04280310486942176,3.0,0,1,0,0,0,0,7.800000000000001
-1.14376119113443,1.0,0,1,0,0,0,0,3.6
-0.6045164141883036,2.0,0,1,0,0,0,0,4.800000000000001
-0.38247444721048673,2.0,0,1,0,0,0,0,5.7
0.35766544271556927,3.0,0,1,0,0,0,0,7.9
-1.1860548991302047,1.0,0,0,0,1,0,0,3.7
-0.2608800367226347,2.0,0,0,0,1,0,0,5.7
-0.13928562623478263,2.0,0,0,0,1,0,0,5.9
-0.0784884209908566,2.0,0,0,0,1,0,0,6.1000000000000005
0.019315778749372233,2.0,0,0,0,1,0,0,6.300000000000001
0.6854416796828227,2.0,0,0,0,1,0,0,7.9
-0.0599849237427052,3.0,0,0,0,1,0,0,6.1000000000000005
0.1039031947409215,3.0,0,0,0,1,0,0,6.5
0.5109801342002523,3.0,0,0,0,1,0,0,7.300000000000001
0.5664906259447066,3.0,0,0,0,1,0,0,7.6
0.7092318904304459,3.0,0,0,0,1,0,0,8.0
1.38593121836284,3.0,0,0,0,1,0,0,9.6
1.5603927638454103,3.0,0,0,0,1,0,0,10.0
-0.5569359926930572,2.0,0,1,0,0,0,0,7.0
0.2519311727261327,3.0,0,1,0,0,0,0,9.0
-0.03355135624534605,2.0,0,1,0,0,0,0,9.7
0.550630485446291,3.0,0,1,0,0,0,0,12.0
-0.929649294405821,1.0,0,1,0,0,0,0,4.2
0.180560540483263,2.0,0,1,0,0,0,0,5.7
-1.51911784959693,1.0,0,1,0,0,0,0,1.4
-1.1146842668873351,2.0,0,1,0,0,0,0,2.2
-0.8292017379158563,3.0,0,1,0,0,0,0,2.6
-0.27674017722105015,2.0,0,1,0,0,0,0,8.0
-0.19743947472897275,2.0,0,1,0,0,0,0,8.3
0.2492878159763968,3.0,0,1,0,0,0,0,10.1
0.2862948104726996,3.0,0,1,0,0,0,0,10.3
0.7594556686754282,3.0,0,1,0,0,0,0,12.8
1.8088682983205864,5.0,0,1,0,0,0,0,16.3
-1.9341248593054685,0.0,0,0,0,0,0,0,5.4
-1.0671038453920887,1.0,0,0,0,0,0,0,3.9
-0.623019911436455,2.0,0,0,0,0,0,0,5.1000000000000005
-0.43005486870573323,2.0,0,0,0,0,0,0,6.0
-0.22651639897606782,3.0,0,0,0,0,0,0,6.6000000000000005
-1.149047904633902,1.0,0,1,0,0,0,0,4.55
-0.4247681552062614,2.0,0,1,0,0,0,0,7.25
-0.374544376961279,2.0,0,1,0,0,0,0,7.35
-0.5807262034406804,2.0,0,0,0,0,0,0,6.2
0.05896612999541095,3.0,0,0,0,0,0,0,8.4
-0.5939429871893599,2.0,0,1,0,0,0,0,5.414000000000001
-0.4089080147078459,2.0,0,1,0,0,0,0,5.832000000000001
0.2519311727261327,3.0,0,1,0,0,0,0,7.902
0.3629521562150411,3.0,0,1,0,0,0,0,8.209999999999999
2.12342775153916,3.0,0,1,0,0,0,0,24.9
3.627497742138895,4.0,0,1,0,0,0,0,46.0
-0.5939429871893599,2.0,0,1,0,0,0,0,4.575
-0.4485583659538846,2.0,0,1,0,0,0,0,4.934000000000001
-0.43269822545546915,2.0,0,1,0,0,0,0,4.974
-0.39833458770890223,2.0,0,1,0,0,0,0,5.056000000000001
-1.1860548991302047,1.0,0,1,0,0,0,0,3.6
-0.5939429871893599,2.0,0,1,0,0,0,0,5.5
0.7541689551759564,2.0,0,1,0,0,0,0,6.800000000000001
-0.09170520473953617,2.0,0,1,0,0,0,0,6.5
0.24664445922666087,3.0,0,1,0,0,0,0,9.2
0.5241969179489319,3.0,0,1,0,0,0,0,9.2
-1.1596213316328456,1.0,0,0,0,0,0,1,3.35
-0.6626702626824936,2.0,0,0,0,0,0,1,4.73
0.4369661452076467,3.0,0,1,0,0,0,0,13.6
-0.6098031276877753,2.0,0,0,0,0,0,0,4.759
-0.5939429871893599,2.0,0,0,0,0,0,0,4.7700000000000005
-0.5860129169401521,2.0,0,0,0,0,0,0,4.78
-0.5622227061925289,2.0,0,0,0,0,0,0,4.791
-0.5199289981967543,2.0,0,0,0,0,0,0,4.8020000000000005
0.9101270034103753,3.0,0,1,1,0,0,0,16.1
1.111022116390305,3.0,0,1,1,0,0,0,17.0
1.3039871591210266,3.0,0,1,1,0,0,0,17.8
1.5022389153512201,3.0,0,1,1,0,0,0,18.7
2.05205711929629,8.0,0,1,1,0,0,0,21.1
2.094350827292065,8.0,0,1,1,0,0,0,21.3
-0.8450618784142718,1.0,0,1,0,0,0,0,6.5
-0.37983109046075086,2.0,0,1,0,0,0,0,8.4
-0.3533975229633917,2.0,0,1,0,0,0,0,8.5
-0.06262828049244111,2.0,0,1,0,0,0,0,9.6
0.7171619606796537,3.0,0,1,0,0,0,0,12.9
0.8228962306690902,3.0,0,1,0,0,0,0,13.3
0.9973577761516605,3.0,0,1,0,0,0,0,13.9
1.015861273399812,3.0,0,1,0,0,0,0,14.0
-0.6573835491830219,2.0,0,0,0,0,0,0,4.32
-0.46970521995177195,2.0,0,0,0,0,0,0,4.74
-1.212488466627564,1.0,0,0,0,0,0,1,3.058
-0.6811737599306451,2.0,0,0,0,0,0,1,4.349
-0.6679569761819655,2.0,0,0,0,0,0,1,4.383
-0.6335933384353987,2.0,0,0,0,0,0,1,4.444
-0.5992297006888317,2.0,0,0,0,0,0,1,4.5520000000000005
-0.2238730422263319,3.0,0,0,0,0,0,1,5.4
-0.42212479845652545,2.0,0,0,0,0,0,0,11.1
-0.2952436744692016,2.0,0,0,0,0,0,0,11.8
-0.23708982597501146,2.0,0,0,0,0,0,0,12.1
0.4739731397039495,3.0,0,0,0,0,0,0,16.2
0.5717773394441783,3.0,0,0,0,0,0,0,16.7
-0.9507961484037083,1.0,0,0,1,0,0,0,3.6
-0.4485583659538846,2.0,0,0,1,0,0,0,5.2
-0.2238730422263319,2.0,0,0,0,0,0,0,7.9
0.1382668324874884,3.0,0,0,0,0,0,0,9.7
-0.5225723549464902,2.0,0,1,0,0,0,0,6.806000000000001
-0.4855653604501874,2.0,0,1,0,0,0,0,6.841
-0.27145346372157836,2.0,0,1,0,0,0,0,7.800000000000001
0.22549760522877355,3.0,0,1,0,0,0,0,9.887
1.3357074401178577,4.0,0,1,0,0,0,0,14.0
2.319036151019618,5.0,0,1,0,0,0,0,17.7
-0.43005486870573323,2.0,0,0,0,0,0,0,6.88
-0.37983109046075086,2.0,0,0,0,0,0,0,6.88
2.0282669085486673,5.0,0,0,0,0,0,0,13.0
-0.5014255009486029,2.0,0,0,0,0,0,0,4.800000000000001
-0.4459150092041487,2.0,0,0,0,0,0,0,5.1000000000000005
-0.22651639897606782,2.0,0,0,0,0,0,0,5.6000000000000005
-0.4247681552062614,2.0,0,1,0,0,0,0,9.5
-0.26881010697184243,2.0,0,1,0,0,0,0,11.0
0.02460249224884406,2.0,0,1,0,0,0,0,11.8
0.6854416796828227,3.0,0,1,0,0,0,0,14.6
0.7224486741791255,3.0,0,1,0,0,0,0,14.7
0.7779591659235796,3.0,0,1,0,0,0,0,14.9
-1.0988241263889196,1.0,0,1,0,0,0,0,3.868
-0.5331457819454338,2.0,0,1,0,0,0,0,5.800000000000001
-0.4485583659538846,2.0,0,1,0,0,0,0,6.072
-0.22915975572580372,2.0,0,1,0,0,0,0,8.149
0.5056934207007805,3.0,0,1,0,0,0,0,10.8
-0.2899569609697297,2.0,0,1,0,0,0,0,7.45
-0.1339989127353108,2.0,0,1,0,0,0,0,8.059000000000001
-0.05734156699296929,2.0,0,1,0,0,0,0,8.3
-0.7631178191724585,2.0,0,1,0,0,0,0,4.7250000000000005
-0.7499010354237788,2.0,0,1,0,0,0,0,4.75
-0.7102506841777402,2.0,0,1,0,0,0,0,4.843
